,test_start,test_end,train_start,train_end
2008,2008-08-25,2009-06-05,2004-03-24,2008-07-28
2009,2009-08-24,2010-06-04,2004-03-24,2009-07-27
2010,2010-08-30,2011-06-03,2004-03-24,2010-08-02
2011,2011-08-29,2012-06-02,2004-03-24,2011-08-01
2012,2012-08-27,2013-06-08,2004-03-24,2012-07-30
2013,2013-08-26,2014-06-07,2004-03-24,2013-07-29
2014,2014-08-25,2015-06-06,2004-03-24,2014-07-28
2015,2015-08-24,2016-06-05,2004-03-24,2015-07-27
2016,2016-08-29,2017-06-04,2004-03-24,2016-08-01
2017,2017-08-28,2018-06-03,2004-03-24,2017-07-31
2018,2018-08-27,2019-06-02,2004-03-24,2018-07-30
2019,2019-08-26,2020-06-08,2004-03-24,2019-07-29
2020,2020-08-24,2021-06-07,2004-03-24,2020-07-27
2021,2021-08-30,2022-06-06,2004-03-24,2021-08-02
2022,2022-08-29,2023-06-05,2004-03-24,2022-08-01
2023,2023-08-28,2024-06-04,2004-03-24,2023-07-31
